Name,Phone,Category,Locality,City,Address,Website
,,,,,,
AKSHAURAV REALTY and CONSULTANCY PRIVATE LIMITED,094304 11785,Property management,Ground Floor," Patna, Bihar","Ground Floor, Anjanalaya, Shastri Nagar Near Triloki Nath Shiv Mandir, Jawaharlal Nehru Marg, Sheikhpura, Patna, Bihar",https://akshaurav.com/
Relation Group,076777 09777,Real estate service,BMP Road," Patna, Bihar","BMP Road, Patna, Bihar 800014",https://relationgroup.co.in/
Jan Awasiya Yojna by Satyamev Group,074002 00200,Home developer,5th Floor UFO Mall," Patna, Bihar","5th Floor UFO Mall, Anisabad Chauraha, Anisabad, Patna, Bihar 800002",https://www.satyamevgroups.com/
Re/Max Bihar(Properties Paradise),080510 50585,Real estate agent,MLA Colony," Patna, Bihar","MLA Colony, Raja Bazar, Indrapuri, Patna, Bihar",https://www.remax.in/
Mg Realty,088738 87399,Real estate service,95\7," Patna, Bihar","95\7, H\O \ Zahida Khatoon, Haroon Nagar, Road NO. \ 7, Sector \ 2, Patna, Bihar 801505",https://www.mgrealtyindia.com/
Vedanta Homes Private Limited,,Builders,4th Floor," Patna, Bihar","4th Floor, Above Jockey Showroom, Beside Skoda Showroom, Saguna More, Kaliket Nagar, Patna, Bihar",https://www.vedantahomes.in/
Apna Sansar Home Private Limited,093868 06404,Real estate agent,Rashtriya Ganj," Patna, Bihar","Rashtriya Ganj, Near Dr.Sahjanand, Phulwari Sharif, Patna-15, Patna, Bihar 801505",https://www.facebook.com/apnasansarhomes/
RS PROPERTY Dealer Patna,,Real estate agent,Bailey Rd," Patna, Bihar","Bailey Rd, MLA Colony, Raja Bazar, Khajpura, Patna, Bihar",
Ashiana,,Builders,Bypass Road," Patna, Bihar","Bypass Road, Near Care 'N' Cure Hospital, Haroon Colony Sector 2, Phulwari Sharif, Patna, Bihar 801505",https://www.ashianagroup.com/
Unique Property Garden Real Estate & Developers,,Real estate service,142/2," Patna, Bihar","142/2, Haroon Nagar, Sector 2, PO+ PS : Phulwarisharif, Patna, Bihar 801505",
Kumar Real Estate,,Real estate agent,Road No.2," Patna, Bihar","Road No.2, Mitramandal Colony, Anisabad, Phulwari, Patna, Bihar 800002",
Geetanjali Estate,0612 320 8160,Real estate service,Pal Market," Patna, Bihar","Pal Market, Raja Bazar, Near Igims, Patna, Bihar 800014",https://www.facebook.com/Geetanjaliestate/
Malhotra Property Home,096933 04720,Real estate agent,Bailey Road," Patna, Bihar","Bailey Road, South Of Piler No.13, Jagdeo Path, Patna, Bihar",
Property Hub Management,093344 57237,Property management,Pramod Kumar," Patna, Bihar","Pramod Kumar, Madhukar Manssion, Veer Basawan Nagar, Near Patliputra Station, Rukanpura, Bailey Road, Patna, Bihar 800014",https://propertyhubworld.com/
SILVER OAK,,Real estate agent,Nohsa More," Patna, Bihar","Nohsa More, Aiims Road, Beside Emarat Enclave, Phulwari Sharif, Patna, Bihar",http://www.icreausolutions.com/
Ubicate Real Estate,,Construction services,C/O- Drawpadi Devi," Patna, Bihar","C/O- Drawpadi Devi, Machli Gali Raja Bazar, Baily Road, Patna, Bihar 800014",
Khan Mansion Building,,Real estate agent,Anisabad Road," Patna, Bihar","Anisabad Road, Police Colony, Anisabad, Patna, Bihar 801505",
TCW Realty Private Limited,085418 96217,Real estate service,Patna," New Patna Colony, Bihar","Patna, New Patna Colony, Bihar 800001",https://propertyhubworld.com/
Haywood Real Estate,089864 07481,Construction services,Ashok Palace B Block," Patna Sadar, Bihar","Ashok Palace B Block, Patna Sadar, Bihar 800001",https://www.haywoodrealestates.com/
Umland Real Estate,,Real estate agent,C/O Manju Sinha," Patna, Bihar","C/O Manju Sinha, Road NO 1 Magistrate Colony, Khajpura, Patna, Bihar 800025",
Devdhari Property Dealer,,Real estate agent,Taregna Patna," Patna, Bihar","Taregna Patna, Patna, Bihar 804453",
Nrt Homes,074800 81291,Real estate service,Narayan Realtech Construction pvt ltd," Patna, Bihar","Narayan Realtech Construction pvt ltd, Babhanpura, Pulwarisarif Janipur Road, Near Aiims, Patna, Bihar 801503",https://www.facebook.com/Vishnudevpalace/
SARVSIDDHI REAL ESTATE SERVICES,081787 28057,Corporate office,Patna Bypass," Patna, Bihar","Patna Bypass, Patna, Bihar, Bihar 801503",https://g.page/r/CdsSeckYvtq5EAE/
Real Home,,Real estate agent,Shri Krishna Nagar," Patna, Bihar","Shri Krishna Nagar, Patna, Bihar 800001",https://www.facebook.com/PlanYourHome/
Real Estate Bihar,081025 34462,Real estate agent,Geetanjali House," Patna, Bihar","Geetanjali House, Danapur - Khagaul Rd, Kaliket Nagar, Danapur, Patna, Bihar",
